,mus_prime_mm-1
420.0,76.64266507780479
421.0,76.2975175152246
422.0,75.95236995264442
423.0,75.60722239006424
424.0,75.26207482748406
425.0,74.91692726490388
426.0,74.57145863482361
427.0,74.22568353122057
428.0,73.87990842761751
429.0,73.53413332401446
430.0,73.1883582204114
431.0,72.84258311680836
432.0,72.50752972184416
433.0,72.19056921020803
434.0,71.8736086985719
435.0,71.55664818693576
436.0,71.23968767529963
437.0,70.9227271636635
438.0,70.60576665202737
439.0,70.2865559923282
440.0,69.9662590542538
441.0,69.64596211617939
442.0,69.32566517810498
443.0,69.00536824003056
444.0,68.68507130195616
445.0,68.36477436388175
446.0,68.05307215580933
447.0,67.7450943307378
448.0,67.43711650566625
449.0,67.1291386805947
450.0,66.82116085552316
451.0,66.51318303045161
452.0,66.20520520538007
453.0,65.90694761066793
454.0,65.62096820167292
455.0,65.33498879267792
456.0,65.04900938368291
457.0,64.7630299746879
458.0,64.47705056569289
459.0,64.1804300624097
460.0,63.876147971239014
461.0,63.57186588006832
462.0,63.26758378889764
463.0,62.96330169772695
464.0,62.65901960655625
465.0,62.354737515385565
466.0,62.073050014420126
467.0,61.80613589935812
468.0,61.53922178429611
469.0,61.272307669234095
470.0,61.00539355417209
471.0,60.73847943911009
472.0,60.47156532404808
473.0,60.20602046744227
474.0,59.958732390252464
475.0,59.71144431306267
476.0,59.46415623587287
477.0,59.21686815868308
478.0,58.96958008149327
479.0,58.72229200430347
480.0,58.47500392711367
481.0,58.227715849923875
482.0,57.98042777273407
483.0,57.72440477090989
484.0,57.46209262334896
485.0,57.199780475788025
486.0,56.93746832822709
487.0,56.67515618066616
488.0,56.41284403310522
489.0,56.15053188554429
490.0,55.888219737983356
491.0,55.632467780423944
492.0,55.38358840286612
493.0,55.1347090253083
494.0,54.885829647750484
495.0,54.636950270192656
496.0,54.388070892634836
497.0,54.13919151507702
498.0,53.8903121375192
499.0,53.641432759961376
500.0,53.392553382403555
501.0,53.14776697742022
502.0,52.92403014567707
503.0,52.70029331393392
504.0,52.47655648219077
505.0,52.25281965044762
506.0,52.02908281870446
507.0,51.80534598696131
508.0,51.58160915521816
509.0,51.357872323475014
510.0,51.13413549173186
511.0,50.91878156453722
512.0,50.7074745567798
513.0,50.496167549022374
514.0,50.284860541264955
515.0,50.07355353350753
516.0,49.86224652575011
517.0,49.65093951799268
518.0,49.43963251023526
519.0,49.22832550247784
520.0,49.01701849472042
521.0,48.806079024759136
522.0,48.595357354973345
523.0,48.38463568518755
524.0,48.173914015401756
525.0,47.963192345615965
526.0,47.75247067583017
527.0,47.541749006044384
528.0,47.331027336258586
529.0,47.12030566647279
530.0,46.909583996687005
531.0,46.69946546584872
532.0,46.51467877080579
533.0,46.32989207576286
534.0,46.14510538071993
535.0,45.960318685677
536.0,45.77553199063407
537.0,45.59074529559114
538.0,45.40595860054821
539.0,45.22117190550528
540.0,45.03638521046235
541.0,44.85159851541942
542.0,44.66670700659598
543.0,44.48116914612604
544.0,44.29563128565611
545.0,44.110093425186186
546.0,43.92455556471625
547.0,43.739017704246315
548.0,43.553479843776394
549.0,43.36794198330646
550.0,43.18240412283653
551.0,42.996866262366595
552.0,42.81132840189667
